"","logFC","AveExpr","t","P.Value","adj.P.Val","B","X","UNIPROT"
"O43854",7.38827941833947,23.9734193533399,10.1813528068728,7.1504441197728e-05,0.000483772234978379,2.30573271878324,"O43854","O43854"
"P30044",-2.25787012122852,25.0332613214502,-10.1005621313585,7.46742275366559e-05,0.000501301403463132,2.25864648645962,"P30044","P30044"
"P62851",-4.17689894310316,23.2539546450894,-9.96110164886444,8.05401759550466e-05,0.000536521479823618,2.17645132474206,"P62851","P62851"
"Q13641",2.04308038415546,22.732049167096,9.87154206256923,8.45908752518503e-05,0.000559203801283224,2.1230455858193,"Q13641","Q13641"
"Q7Z404",-1.97251994307347,21.8374039536338,-9.76851243643121,8.95482252613992e-05,0.000587490629366452,2.06099587887083,"Q7Z404","Q7Z404"
"O14817",3.0115601138298,22.5936436650042,9.66896819973305,9.46625762336258e-05,0.000616374368558797,2.00041394786371,"O14817","O14817"
"P08473",-4.21909093171235,23.4335923168783,-9.55303499109927,0.000101054210879606,0.000653081691207003,1.92906221373579,"P08473","P08473"
"P15151",2.0182792678733,22.6248302733231,9.51924985933893,0.000103010614267317,0.00066079401448516,1.90810568957021,"P15151","P15151"
"P16070",1.70946175156405,26.1158718936475,9.3854140162646,0.000111207286595131,0.000708128751407232,1.82435346579676,"P16070","P16070"
"P29317;P54762;P54760;Q15375;Q9UF33;Q06187;P29320;P54764;P29322;P54756",4.02156127361073,23.6534338657498,9.33354334119643,0.000114586816217976,0.000721559430856364,1.79157408103423,"P29317;P54762;P54760;Q15375;Q9UF33;Q06187;P29320;P54764;P29322;P54756","P29317"
"P48509",2.04117698861063,25.9063411041654,9.32758080362349,0.000114982911614525,0.000721559430856364,1.78779452724125,"P48509","P48509"
"O43399",1.95175845323343,24.6466784909208,9.20558323760203,0.000123448537538918,0.000769111032436711,1.70993368288567,"O43399","O43399"
"Q99536",1.30872998477481,25.3219722230969,9.12334965906152,0.000129565290726696,0.000801453869780847,1.65687551069842,"Q99536","Q99536"
"O14493;O95484;P56747;O15551",-2.52691136250747,26.3403123662987,-9.09475116137859,0.000131774777385904,0.000808132679468916,1.63831339138293,"O14493;O95484;P56747;O15551","O14493"
"O95466",3.78945162134343,22.4870417445577,9.08534110970189,0.000132511363146173,0.000808132679468916,1.63219321481199,"O95466","O95466"
"O95832",-4.25842448520524,22.8787076001536,-9.05819014962298,0.000134663680160316,0.000815515713418417,1.61449977269637,"O95832","O95832"
"P04179",-1.96559423500596,22.6344522581325,-8.89643843039886,0.000148363355708726,0.000892240736414978,1.50800777931855,"P04179","P04179"
"P43121",4.39409970059906,23.0690391959756,8.84868767052805,0.000152713463190342,0.000912067993950594,1.47621079470433,"P43121","P43121"
"Q15836;P23763",1.95063571438689,22.0397954839155,8.82689924780253,0.000154747630389226,0.000917886629568974,1.4616468400003,"Q15836;P23763","Q15836"
"Q13443",-2.21251795481052,23.6902956360454,-8.71059995559601,0.000166154049650863,0.000978839503385358,1.38331851380546,"Q13443","Q13443"
