"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-9609646","HCMV Infection",53,0.566052215549789,1.69959504769443,0.00317266934145148,0.0124377834327917,0.00873633586776495,74,"tags=34%, list=8%, signal=33%","3688/440689/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/8338/1956"
"R-HSA-5663205","Infectious disease",265,0.364200657623079,1.34315291991421,0.00346874574305149,0.0135006578920206,0.0094829020313638,154,"tags=21%, list=17%, signal=25%","2335/4907/7431/3688/7322/440689/375790/3915/2778/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/567/481/3911/3105/3339/1213/8338/6231/821/1211/1956/2678/3326/3309/203068/3106/10376/4904/6385/476/5705/3843/2023/3913/5902/7846/4869/7415/84790/10383/1915/8829/9789"
"R-HSA-9860927","Turbulent (oscillatory, disturbed) flow shear stress activates signaling by PIEZO1 and integrins in endothelial cells",12,0.773794065226179,1.70151483956532,0.00356926556055863,0.0137926619161587,0.00968800652151629,56,"tags=42%, list=6%, signal=40%","2335/3688/3690/3678/3685"
"R-HSA-1266695","Interleukin-7 signaling",13,0.751990898748578,1.67043547423821,0.00502112564855792,0.0192654537295733,0.0135321116769646,231,"tags=100%, list=26%, signal=75%","126961/333932/653604/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-9711123","Cellular response to chemical stress",40,-0.572589050668525,-1.63322970152944,0.00508250578270096,0.0193636311862058,0.0136010718128617,179,"tags=30%, list=20%, signal=25%","5695/7295/7086/10072/5226/5690/6648/25824/2950/7311/2876/3417"
"R-HSA-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",22,0.672473669577445,1.68783405673257,0.00520239680490585,0.0196817949052732,0.0138245509500995,145,"tags=50%, list=16%, signal=43%","2335/7076/4312/4241/3915/3371/4240/7184/3490/3913/3956"
"R-HSA-195258","RHO GTPase Effectors",94,0.466142822166814,1.53523223542448,0.00559752346478107,0.0210295846836566,0.0147712424765056,231,"tags=51%, list=26%, signal=42%","3014/3688/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/2316/8338/752/10376/389/1072/5528/7846/84790/10383/391/387/5216/7531/5518/5880/126961/333932/653604/60/7529/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-418555","G alpha (s) signalling events",13,0.747773126537798,1.66106632318217,0.00573333085368919,0.0212447396701771,0.0149223679753554,31,"tags=31%, list=3%, signal=30%","2335/3688/3678/2778"
"R-HSA-9634597","GPER1 signaling",13,0.747773126537798,1.66106632318217,0.00573333085368919,0.0212447396701771,0.0149223679753554,31,"tags=31%, list=3%, signal=30%","2335/3688/3678/2778"
"R-HSA-392499","Metabolism of proteins",274,0.357815820948458,1.32694322835714,0.00650319415001473,0.0239335240486937,0.016810978074868,162,"tags=20%, list=18%, signal=24%","2335/7076/3014/4312/7322/440689/4241/4586/3915/1933/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/567/3371/3105/3339/8338/6231/4240/821/8775/9230/7057/10376/1984/7184/4218/5705/3490/7453/3913/7846/4869/7415/84790/3956/10383/1915/11315/9789/10540/2787/378"
"R-HSA-9855142","Cellular responses to mechanical stimuli",25,0.653984226226544,1.68699677351618,0.00714777589313525,0.026128018636393,0.0183523975634554,62,"tags=28%, list=7%, signal=27%","2335/3688/3690/3678/2778/3685/3339"
"R-HSA-210991","Basigin interactions",12,0.757023921513942,1.66463855726963,0.0073158326945866,0.0265628556226265,0.0186578283486101,95,"tags=50%, list=11%, signal=45%","3675/4312/3688/481/3655/9123"
"R-HSA-373755","Semaphorin interactions",15,0.71149393104541,1.63741255776305,0.0080453082045491,0.0290167449244071,0.0203814474515244,171,"tags=67%, list=19%, signal=55%","3688/1808/6237/3326/389/1072/7094/5361/8829/387"
"R-HSA-1280215","Cytokine Signaling in Immune system",127,0.413908741684268,1.42126198147265,0.00863347652501228,0.030728360526524,0.0215836913125307,231,"tags=39%, list=26%, signal=33%","2335/7076/4312/7431/3688/3383/7322/567/3911/2316/3105/3122/821/960/3309/3106/10376/5898/5908/7184/4904/1072/5705/4478/5528/7846/4869/84790/10383/9446/3181/3838/5518/3837/126961/333932/653604/60/2317/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-8953897","Cellular responses to stimuli",197,0.376161463534759,1.34836333931046,0.00857736265495014,0.030728360526524,0.0215836913125307,67,"tags=13%, list=8%, signal=16%","2335/3014/3688/3690/7322/3678/2778/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/3685/3339/8338/6231"
"R-HSA-6785807","Interleukin-4 and Interleukin-13 signaling",15,0.707682626713636,1.62864132683332,0.00888479846784492,0.0314161828176739,0.0220668197240593,52,"tags=47%, list=6%, signal=45%","2335/7076/4312/7431/3688/3383/3911"
"R-HSA-372790","Signaling by GPCR",38,0.551153782367713,1.57633570225624,0.00939418612529724,0.033001653855752,0.023180459270214,207,"tags=37%, list=23%, signal=30%","2335/3688/976/3678/2778/1956/389/5528/2787/387/2771/3838/5518/2782"
"R-HSA-917729","Endosomal Sorting Complex Required For Transport (ESCRT)",12,-0.752685262771221,-1.60959910015897,0.00988852047048849,0.0345141262873179,0.0242428243792621,197,"tags=83%, list=22%, signal=66%","25978/51510/128866/93343/79720/51160/9525/7311/27243/7251"
"R-HSA-9860931","Response of endothelial cells to shear stress",24,0.637804313179945,1.61706816627238,0.0100892620512516,0.0349890433956867,0.0245764075607411,56,"tags=25%, list=6%, signal=24%","2335/3688/3690/3678/2778/3685"
"R-HSA-162588","Budding and maturation of HIV virion",13,-0.739211150817692,-1.63454003967237,0.012122900918843,0.0417738178158857,0.0293420531793652,169,"tags=77%, list=19%, signal=63%","25978/51510/128866/93343/79720/51160/9525/7311/27243/7251"
"R-HSA-6806834","Signaling by MET",17,0.696825489822732,1.6457238727574,0.0129484717007374,0.0443362227221452,0.0311418939637989,52,"tags=35%, list=6%, signal=34%","2335/3673/3675/3688/3915/3911"
"R-HSA-76002","Platelet activation, signaling and aggregation",60,0.493019622555165,1.51679843315524,0.0134216986371019,0.0456675406457367,0.0320770156106838,207,"tags=42%, list=23%, signal=34%","2335/7076/3690/5054/3959/2316/87/3309/308/7078/7057/5908/1072/7094/391/2787/387/9948/2771/7414/5216/10916/8407/5880/2782"
"R-HSA-1643685","Disease",328,0.33344699261521,1.25480090004656,0.0135270297920478,0.0457382694843615,0.0321266957561134,231,"tags=31%, list=26%, signal=37%","2335/4907/3014/7431/3688/3690/7322/440689/4586/375790/3915/2778/94239/8294/8359/8360/8361/8362/8363/8364/8365/8366/8367/8368/8370/121504/554313/567/481/3911/6513/3105/3339/1213/8338/6231/821/1211/1956/2678/3326/3309/203068/7057/3106/10376/5908/4904/7094/6385/476/5705/4478/3843/5528/2023/3913/11140/5902/7846/4869/7415/84790/10383/1915/8829/9789/391/2787/118429/3181/2771/3838/3159/7414/3912/7531/5518/5880/3837/126961/333932/653604/3187/60/2782/6520/5230/682/5878/3251/191/7529/8350/8351/8352/8353/8354/8355/8356/8357/8358/8968"
"R-HSA-3299685","Detoxification of Reactive Oxygen Species",11,-0.780003806650297,-1.64113521393131,0.0147510324081306,0.0495671337440909,0.0348161013359604,73,"tags=45%, list=8%, signal=42%","7295/6648/25824/2950/2876"
