"UNIPROT","SYMBOL","logFC","adj.P.Val","pathway_id","pathway_name","is_AGRN","direction","significant"
"P16671","CD36",-0.261180305008047,0.613529932435999,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"Q14204","DYNC1H1",0.184863940489038,0.488756911015193,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"P67936","TPM4",-0.168809684631039,0.71889876674394,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"P28482","MAPK1",0.131577872102902,0.654468952507214,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"up",FALSE
"O00159","MYO1C",-0.0673810971478233,0.763934098263432,"R-HSA-1643685","Homo sapiens: Disease",FALSE,"down",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-3560782","Homo sapiens: Diseases associated with glycosaminoglycan metabolism",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-3560782","Homo sapiens: Diseases associated with glycosaminoglycan metabolism",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-3560782","Homo sapiens: Diseases associated with glycosaminoglycan metabolism",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-3560782","Homo sapiens: Diseases associated with glycosaminoglycan metabolism",FALSE,"down",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-3781865","Homo sapiens: Diseases of glycosylation",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-3781865","Homo sapiens: Diseases of glycosylation",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-3781865","Homo sapiens: Diseases of glycosylation",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-3781865","Homo sapiens: Diseases of glycosylation",FALSE,"down",FALSE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-5668914","Homo sapiens: Diseases of metabolism",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-5668914","Homo sapiens: Diseases of metabolism",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-5668914","Homo sapiens: Diseases of metabolism",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-5668914","Homo sapiens: Diseases of metabolism",FALSE,"down",FALSE
"P02751","FN1",5.71190413653133,3.23875287666273e-05,"R-HSA-3000178","Homo sapiens: ECM proteoglycans",FALSE,"up",TRUE
"P17301","ITGA2",3.94950109445937,4.56355346937978e-05,"R-HSA-3000178","Homo sapiens: ECM proteoglycans",FALSE,"up",TRUE
"P05556","ITGB1",3.05007125354915,6.47675261860327e-05,"R-HSA-3000178","Homo sapiens: ECM proteoglycans",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-3000178","Homo sapiens: ECM proteoglycans",TRUE,"up",TRUE
"P55268","LAMB2",2.97025364331254,0.00696998449304999,"R-HSA-3000178","Homo sapiens: ECM proteoglycans",FALSE,"up",TRUE
"P06756","ITGAV",2.30490813666285,0.000216355170911548,"R-HSA-3000178","Homo sapiens: ECM proteoglycans",FALSE,"up",TRUE
"P11047","LAMC1",2.1503320550259,0.000154937358266977,"R-HSA-3000178","Homo sapiens: ECM proteoglycans",FALSE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-3000178","Homo sapiens: ECM proteoglycans",FALSE,"up",TRUE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-9772572","Homo sapiens: Early SARS-CoV-2 Infection Events",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-9772572","Homo sapiens: Early SARS-CoV-2 Infection Events",TRUE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-9772572","Homo sapiens: Early SARS-CoV-2 Infection Events",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-9772572","Homo sapiens: Early SARS-CoV-2 Infection Events",FALSE,"down",FALSE
"P02751","FN1",5.71190413653133,3.23875287666273e-05,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P17301","ITGA2",3.94950109445937,4.56355346937978e-05,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P31431","SDC4",3.50413506464376,0.0042667087774112,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P26006","ITGA3",3.22575578432546,4.77074827847492e-05,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P05556","ITGB1",3.05007125354915,6.47675261860327e-05,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"O00468","AGRN",2.97574090601907,0.000154600782520307,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",TRUE,"up",TRUE
"P55268","LAMB2",2.97025364331254,0.00696998449304999,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P06756","ITGAV",2.30490813666285,0.000216355170911548,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P11047","LAMC1",2.1503320550259,0.000154937358266977,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P98160","HSPG2",2.11658801495104,0.000293919518724457,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P18827","SDC1",-2.09656178108388,0.35738145382966,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"down",FALSE
"P16144","ITGB4",1.98351511288602,0.000273634882900169,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P16070","CD44",1.70946175156405,0.000708128751407232,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P23229","ITGA6",1.56154925940134,0.000422556994861413,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"Q08722","CD47",0.976813900687574,0.0325607108953137,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P60709","ACTB",0.553264694573404,0.0491781695084405,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",TRUE
"P35613","BSG",0.453520325806487,0.0549877346132674,"R-HSA-1474244","Homo sapiens: Extracellular matrix organization",FALSE,"up",FALSE
