"","Normal_count","Tumor_count","Pattern"
"Q9BS40",3,1,"Other"
"Q9BV40",3,3,"Other"
"Q9BVC6",0,2,"Other"
"Q9BW04",3,0,"Normal_only_3v0"
"Q9BY43",3,0,"Normal_only_3v0"
"Q9BZ67",2,3,"Other"
"Q9C0B5;Q9ULC8",3,3,"Other"
"Q9H0E2",3,1,"Other"
"Q9H0U4;Q92928",3,3,"Other"
"Q9H190",3,0,"Normal_only_3v0"
"Q9H1E3",3,2,"Other"
"Q9H223",3,3,"Other"
"Q9H299",3,0,"Normal_only_3v0"
"Q9H2G2",3,0,"Normal_only_3v0"
"Q9H444;Q96CF2",3,2,"Other"
"Q9H4A4",3,3,"Other"
"Q9H4G0",3,0,"Normal_only_3v0"
"Q9H4M9;Q9NZN3",3,3,"Other"
"Q9H5V8",3,3,"Other"
"Q9H6S3",3,1,"Other"
"Q9H9H4",3,3,"Other"
"Q9HB71",3,3,"Other"
"Q9HBH0",3,2,"Other"
"Q9HC38",2,1,"Other"
"Q9HCY8",3,0,"Normal_only_3v0"
"Q9HD42",3,0,"Normal_only_3v0"
"Q9NQ84",3,0,"Normal_only_3v0"
"Q9NQE9",0,2,"Other"
"Q9NR45",3,0,"Normal_only_3v0"
"Q9NRX4",3,3,"Other"
"Q9NRY6",2,0,"Other"
"Q9NTK5",2,3,"Other"
"Q9NUP9;O14910",3,3,"Other"
"Q9NUQ9",3,3,"Other"
"Q9NV96;Q3MIR4",3,3,"Other"
"Q9NX76",3,3,"Other"
"Q9NY33",3,3,"Other"
"Q9NY35",0,3,"Tumor_only_3v0"
"Q9NZD2",2,1,"Other"
"Q9NZM1",3,3,"Other"
"Q9NZN4",2,3,"Other"
"Q9NZT1",2,0,"Other"
"Q9NZT2",0,3,"Tumor_only_3v0"
"Q9NZZ3",3,1,"Other"
"Q9P265;Q14689",3,2,"Other"
"Q9P2B2",3,3,"Other"
"Q9P2E9",3,1,"Other"
"Q9UBC9",3,0,"Normal_only_3v0"
"Q9UBI6",3,3,"Other"
"Q9UHD8",2,3,"Other"
"Q9UIW2",2,3,"Other"
"Q9UK41",3,3,"Other"
"Q9UKK9",3,3,"Other"
"Q9UKS6",2,0,"Other"
"Q9UL46",3,2,"Other"
"Q9ULV4",1,3,"Other"
"Q9UNE7",1,2,"Other"
"Q9UNF1",0,3,"Tumor_only_3v0"
"Q9UQ80",3,3,"Other"
"Q9UQB8",3,0,"Normal_only_3v0"
"Q9UQN3",3,0,"Normal_only_3v0"
"Q9Y230",0,2,"Other"
"Q9Y265",2,3,"Other"
"Q9Y281",1,3,"Other"
"Q9Y2A7",3,1,"Other"
"Q9Y2J8",3,0,"Normal_only_3v0"
"Q9Y376",3,2,"Other"
"Q9Y446",3,0,"Normal_only_3v0"
"Q9Y490",3,3,"Other"
"Q9Y5J5",3,0,"Normal_only_3v0"
"Q9Y5Z4",3,1,"Other"
"Q9Y624",3,2,"Other"
"Q9Y678;Q9UBF2",3,3,"Other"
"Q9Y696",3,3,"Other"
"Q9Y6E0",3,1,"Other"
